386.27777777777777,302.44444444444446,9,0,0,0,2,15,13,10,19
280.44166666666666,313.39166666666665,15,26,30,4,5,60,38,50,40
405.1777777777778,324.06666666666666,17,10,14,4,3,40,28,25,32
329.8888888888889,269.3888888888889,3,0,0,0,1,8,7,5,8
392.8181818181818,249.8030303030303,14,5,6,1,3,34,24,20,29
299.4,224.55,4,0,0,0,1,8,6,5,9
365.27777777777777,246.3148148148148,25,13,24,11,4,46,39,33,45
319.50847457627117,306.8474576271187,17,8,10,2,4,49,42,28,37
356.2105263157895,214.75,19,1,1,0,3,33,42,16,34
355.4,275.53333333333336,5,0,0,0,1,10,11,5,10
374.6666666666667,233.83333333333334,10,0,1,1,2,15,20,10,20
236.00819672131146,228.14754098360655,21,0,0,0,5,60,99,25,46
344.84615384615387,371.03846153846155,3,0,0,0,1,11,8,5,8
352.1770833333333,314.1770833333333,18,5,7,2,4,45,55,25,38
330.1774193548387,275.2258064516129,8,0,0,0,3,30,40,15,23
375.7,248.7,8,0,0,0,1,11,12,5,13
405.7,309.7,11,1,1,0,3,32,25,16,26
399.8888888888889,333.55555555555554,3,0,0,0,1,6,5,5,8
365.1774193548387,298.5806451612903,24,27,43,16,5,52,61,52,49
322.5,345.22222222222223,4,0,0,0,1,7,9,5,9
406.325,357.55,3,4,7,3,2,19,17,14,13
307.75757575757575,433.7121212121212,5,15,32,17,3,31,9,30,20
265.92622950819674,439.58196721311475,4,54,81,27,5,72,10,79,29
305.0,461.9795918367347,4,34,49,15,4,39,7,53,24
304.9375,436.8125,6,53,72,19,4,50,4,73,26
329.59420289855075,426.6014492753623,5,64,86,22,5,72,15,89,30
380.19354838709677,406.51612903225805,7,18,22,4,3,28,4,33,22
347.5104166666667,479.5104166666667,3,32,40,8,4,42,7,52,23
346.5692307692308,430.4846153846154,4,64,82,18,5,61,8,89,29
312.8358208955224,457.8955223880597,4,63,81,18,5,58,4,87,29
409.72,372.32,3,13,15,2,2,17,6,23,13
369.6333333333333,237.61666666666667,8,18,26,8,2,31,15,28,18
368.24242424242425,343.45454545454544,11,14,21,7,3,28,16,29,26
342.9166666666667,333.1666666666667,11,20,26,6,3,26,18,35,26
266.36,380.72,7,7,11,4,2,19,14,17,17
486.75,383.75,4,3,5,2,1,11,6,8,9
434.80434782608694,360.30434782608694,7,6,8,2,2,17,7,16,17
373.25,327.5967741935484,21,50,63,13,5,65,21,74,46
378.80434782608694,300.7282608695652,13,29,41,12,4,49,24,49,33
384.45,273.2,5,1,2,1,1,6,7,6,10
351.3,349.4,9,19,26,7,3,34,16,34,24
391.52777777777777,470.34722222222223,5,26,28,2,3,39,6,41,20
363.75,455.0625,6,50,64,14,4,63,6,70,26
356.7,469.35714285714283,4,24,27,3,3,29,5,38,19
344.98936170212767,417.56382978723406,4,40,45,5,4,45,5,60,24
323.33125,422.925,8,83,108,25,6,116,14,112,38
336.45205479452056,424.2945205479452,8,74,97,23,5,84,8,99,33
362.62931034482756,425.23275862068965,10,49,61,12,4,67,16,68,30
306.1475409836066,417.4344262295082,9,52,70,18,5,65,14,77,34
292.375,434.66964285714283,10,38,55,17,4,64,17,58,30
295.59375,430.7291666666667,4,37,49,12,4,43,6,57,24
323.4313725490196,426.01960784313724,7,46,59,13,4,64,2,66,27
321.0,430.3,3,18,22,4,3,27,4,33,18
415.25,492.34375,3,3,3,0,1,9,4,8,8
320.26229508196724,390.4672131147541,10,61,69,8,5,96,9,85,35
332.4013157894737,425.4407894736842,10,83,101,18,6,136,13,113,40
361.9153846153846,409.2692307692308,8,69,82,13,5,84,6,93,33
355.67391304347825,500,1,3,4,1,2,5,0,13,11
371.640350877193,466.6578947368421,4,39,60,21,4,66,8,58,24
363.1940298507463,451.9925373134328,8,68,87,19,5,140,3,93,33
361.0546875,495.3515625,7,68,81,13,5,143,2,93,32
364.675,475.5875,3,28,37,9,3,58,3,43,18
368.0,500,1,0,0,0,2,0,0,10,11
375.7549019607843,500,2,32,44,12,4,64,0,51,22
